row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,order_year,order_month,month_year_str,price,revenue,aov,margin_pct,sales_prod,profit_prod,quantity_prod,discount_prod,price_prod,profit_margin,recency_days,frequency,monetary,RFM_Score,CLTV_pred
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,2016,11,2016-11,130.98,261.96,130.98,0.16000000000000003,1263.9569999999999,-56.3214,12,0.21250000000000002,103.14675,-0.04455958549222798,338,3,1148.7800000000002,112,138.894303188655
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582,2016,11,2016-11,243.98000000000002,731.94,243.98000000000002,0.3,10637.528,1927.442,51,0.14166666666666666,209.41616666666667,0.1811926605504587,338,3,1148.7800000000002,112,138.894303188655
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,2016,6,2016-06,7.31,14.62,7.31,0.47000000000000003,153.51,64.4011,23,0.08571428571428573,6.683428571428571,0.4195238095238095,19,5,1119.483,421,138.38566037995756
4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,2015,10,2015-10,191.5155,957.5775,191.5155,-0.4,7242.768,-532.7613,29,0.2625,256.804875,-0.07355769230769231,29,6,2602.5755,433,311.33298358746265
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,2015,10,2015-10,11.184,22.368,11.184,0.1125,301.96799999999996,63.7488,24,0.12000000000000002,12.3024,0.21111111111111114,29,6,2602.5755,433,311.33298358746265
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694,2014,6,2014-06,6.9799999999999995,48.86,6.9799999999999995,0.29,160.54000000000002,46.5566,23,0.0,6.9799999999999995,0.29,23,8,6255.351,434,752.4348773020629
7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656,2014,6,2014-06,1.82,7.28,1.82,0.27,30.576,6.6612,18,0.06666666666666667,1.6986666666666668,0.21785714285714286,23,8,6255.351,434,752.4348773020629
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,2014,6,2014-06,151.192,907.152,151.192,0.09999999999999999,2116.688,211.66879999999998,14,0.2,151.192,0.09999999999999998,23,8,6255.351,434,752.4348773020629
9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,2014,6,2014-06,6.168,18.504,6.168,0.31249999999999994,215.109,66.6915,35,0.24,5.8596,0.3100358422939068,23,8,6255.351,434,752.4348773020629
10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47,2014,6,2014-06,22.98,114.9,22.98,0.3,464.196,110.304,22,0.05714285714285715,21.666857142857143,0.2376237623762376,23,8,6255.351,434,752.4348773020629
